ID,RecordDOI,RecordURL,Title,PublicationDate,Authors,ARCURL
51jpt-eka68,https://doi.org/10.60534/51jpt-eka68,https://archive.nfdi4plants.org/records/51jpt-eka68,Comparison of single and combined salt and cold stress effects and their challenges for hyperspectral measurements of different Capsicum species,2025-10-02,"Genzel, Franziska, Wiese-Klinkenberg, Anika",https://git.nfdi4plants.org/projects/2876
8d4s9-ywr51,https://doi.org/10.60534/8d4s9-ywr51,https://archive.nfdi4plants.org/records/8d4s9-ywr51,Differentiation of Xanthomonas oryzae pv. oryzae in vitro and during rice leaf infection,2025-10-01,"Frommer, Wolf B., Redzich, Laura",https://git.nfdi4plants.org/projects/2949
as0hg-57s58,https://doi.org/10.60534/as0hg-57s58,https://archive.nfdi4plants.org/records/as0hg-57s58,"In vitro effects of potato glycoalkaloids on plant-pathogens, beneficial microbes, and Arabidopsis thaliana",2025-09-26,"Bueno da Silva, Marília, Genzel, Franziska, Wiese-Klinkenberg, Anika, Bredenbruch, Sandra, Grundler, Florian M. W., Schleker, A. Sylvia S.",https://git.nfdi4plants.org/projects/2886
qgw5a-htx83,https://doi.org/10.60534/qgw5a-htx83,https://archive.nfdi4plants.org/records/qgw5a-htx83,Removal of transgenes and evaluation of yield penalties in genome edited bacterial blight resistant rice varieties,2025-09-10,"Loo, Eliza, Huguet-Tapia, José, Selvaraj, Michael Gomez, Stiebner, Melissa, Killing, Britta, Buchholzer, Marcel, Schepler-Luu, Van, Hartwig, Thomas, Rivera Gutiérrez, Sandra, Rast-Somssich, Madlen Ingeborg, Szurek, Boris, Tohme, Joe, Charraviaga, Paul, White, Frank, Yang, Bing, Frommer, Wolf B.",https://git.nfdi4plants.org/projects/3011
g5wpw-k7478,https://doi.org/10.60534/g5wpw-k7478,https://archive.nfdi4plants.org/records/g5wpw-k7478,CurT/CURT1 Proteins Are Involved in Cell and Chloroplast Division Coordination of Cyanobacteria and Green Algae,2025-09-05,"Dann, Marcel, Eunchul, Kim, Pohland, Anne-Christin, Sommer, Frederik",https://git.nfdi4plants.org/projects/2262
15kvm-7bn31,https://doi.org/10.60534/15kvm-7bn31,https://archive.nfdi4plants.org/records/15kvm-7bn31,"BreedingValue, grant agreement ID: 101000747",2025-08-25,"Senger, Elisa, McCallum, Susan, Jorgenson, Linzi, Britten, Avril, McCallum, James, Osti, Loris, Giacomelli, Sara, Olbricht, Klaus, Wagner, Henning, Waurich, Veronika, Predieri, Stefano, Daniele, Giulia Maria, Lippi, Nico, Magli, Massimiliano, Mazzoni, Luca, Capocasa, Franco, Marcellini, Micol, Giovanetti, Giammarco, Pergolotti, Valeria, Raffaelli, Davide, Qaderi, Rohullah, Franceschini, Matteo, Mecozzi, Federica, Kafkas, Ebru, Zucchi, Paolo, Savini, Gianluca, Toldo, Stefania, Cattani, Sabrina, Ayvaz Sönmez, Duygu, Perez Santana, Carlos, Piston Piston, Fernando, Arenas Pizarro, Juan Manuel, Lopez Rodriguez, Daniel, Cobano Cardeñas, Paloma, Rodriguez Mora, Ana Maria, Refoyo, Antonio, Borrero, Celia, Avilés, Manuel, Sanz, Carlos, Graham, Julie, Miranda Enamorado, Luis, Martinez Ferri, Elsa, Ariza Fernández, María Teresa, Soria Navarro, Carmen, Medina Mínguez, Juan Jesús, Muñoz, Pilar, Roldan Guerra, Francisco Javier, Verma, Sujeet, Ruiz-Velázque, Mario, Torreblanca, Rocío, Oiza, Nicolás, Castillejo, Cristina, Sánchez-Sevilla, José F., Amaya, Iraida, Davik, Jahn, Haikonen, Tuuli, Öz, Ayşe Tülin, Kafkas, Salih, Özgoren, Burak, Attar, Şule Hilal, Yeşil, Betül, Mezzetti, Bruno",https://git.nfdi4plants.org/projects/3046
7s2cg-r2j06,https://doi.org/10.60534/7s2cg-r2j06,https://archive.nfdi4plants.org/records/7s2cg-r2j06,Rapid pathogenicity testing for bacterial blight in rice roots,2025-08-05,"Arra, Yugander, Frommer, Wolf B., Redzich, Laura",https://git.nfdi4plants.org/projects/2948
dkf0e-hhq81,https://doi.org/10.60534/dkf0e-hhq81,https://archive.nfdi4plants.org/records/dkf0e-hhq81,Comparing AI-Based Text Mining and (Gene) Expression Profiling for Metadata Extraction,2025-07-23,"Scheid, Josephine Leonie, Schneider, Kevin, Mühlhaus, Timo",https://git.nfdi4plants.org/projects/2974
g22mf-11z54,https://doi.org/10.60534/g22mf-11z54,https://archive.nfdi4plants.org/records/g22mf-11z54,A microfluidic system for the cultivation of cyanobacteria with precise light intensity and CO2 control: enabling growth data acquisition at single-cell resolution,2025-04-02,"Witting, Lennart, Seiffarth, Johannes, Stute, Birgit, Schulze, Tim, Hofer, Jan Matthis, Nöh, Katharina, Eisenhut, Marion, Weber, Andreas P. M., von Lieres, Eric, Kohlheyer, Dietrich",https://git.nfdi4plants.org/projects/2517
qsh62-7p088,https://doi.org/10.60534/qsh62-7p088,https://archive.nfdi4plants.org/records/qsh62-7p088,Role of Chloroplast Lipid-Remodelling Protein During Cold Acclimation in Arabidopsis thaliana,2025-03-28,"Schwenkert, Serena",https://git.nfdi4plants.org/projects/2495
