ID,RecordDOI,RecordURL,Title,PublicationDate,Authors,ARCURL
dpzy5-0ke85,https://doi.org/10.60534/dpzy5-0ke85,https://archive.nfdi4plants.org/records/dpzy5-0ke85,Characterization of TGD4 and its role in lipid trafficking,2026-02-24,"Valencia, Vanessa and Gan, Sergiy and Stefanski, Anja and Stühler, Kai and Exterkate, Marten and Kuhnert, Franziska and Weber, Andreas P. M.",https://git.nfdi4plants.org/projects/3861/
pxhwb-83c17,https://doi.org/10.60534/pxhwb-83c17,https://archive.nfdi4plants.org/records/pxhwb-83c17,Pennellii Cheesmaniae genomes,2026-02-24,"van Rengs, Willem and Fuentes, Roven Rommel and Zangishei, Zahra and Primetis, Elias and Yazhong, Wang and Fernandes, Joiselle and Susanto, Tamara and Lian, Qichao and Effgen, Sieglinde and Huettel, Bruno and Alseekh, Saleh and Usadel, Björn and Underwood, Charles",https://git.nfdi4plants.org/projects/3837/
m2e5z-7qw63,https://doi.org/10.60534/m2e5z-7qw63,https://archive.nfdi4plants.org/records/m2e5z-7qw63,ATPLyzer – An advanced ratiometric multi-colour biosensor for long-term monitoring of ATP dynamics,2026-02-24,"Papadopoulos, Athanasios and Kaiser, Christian-Frederic and Schlumpberger, Patrick and Eßer, Jacqueline and Reiners, Jens and Gertzen, Christoph and Grossmann, Guido and Smits, Sander",https://git.nfdi4plants.org/projects/3879/
jjkv6-jdh79,https://doi.org/10.60534/jjkv6-jdh79,https://archive.nfdi4plants.org/records/jjkv6-jdh79,"Golden Promise-rapid, a fast-cycling and transformable barley genotype",2026-04-16,"Buchmann, Gabriele and Haraldsson, Einar Baldvin and Schüller, Rebekka and Rütjes, Thea and Walla, Agatha and von Korff, Maria and Liu, Shanda",https://git.nfdi4plants.org/projects/3831/
y7jxb-5r565,https://doi.org/10.60534/y7jxb-5r565,https://archive.nfdi4plants.org/records/y7jxb-5r565,"Evolutionary engineering of Geobacillus thermoleovorans for growth on adipic acid and 1,4-butanediol",2026-02-24,"Op de Hipt, Leonie and Jäger, Amelie and Luthe, Tom and Cevik, Volkan and Kranz, Angela and Wynands, Benedikt and Frunzke, Julia and Usadel, Björn and Wierckx, Nick",https://git.nfdi4plants.org/projects/3578/
1qkbx-6m615,https://doi.org/10.60534/1qkbx-6m615,https://archive.nfdi4plants.org/records/1qkbx-6m615,Morphomapper dataset and workflow package,2026-02-24,"Thangamani, Subasini and Tamanna, Sadia S. and Föllinger, Simon and Pompejus, Sophie and Weil, Heinrich Lukas and Sakhel, Christel and Müller-Schüssele, Stefanie and Zimmer, David and Mühlhaus, Timo",https://git.nfdi4plants.org/projects/3507/
zehfm-cvd49,https://doi.org/10.60534/zehfm-cvd49,https://archive.nfdi4plants.org/records/zehfm-cvd49,"A chromosome-scale genome assembly of Hordeum erectifolium: genomic, transcriptomic and anatomical adaptations to drought in a wild barley relative",2026-01-21,"Haraldsson, Einar Baldvin and Anokye, Michael and Rütjes, Thea and Toegelová, Helena and Tulpová, Zuzana and Šimková, Hana and Feng, Jia-Wu and Mascher, Martin and von Korff, Maria",https://git.nfdi4plants.org/projects/3617/
0gvj6-4k957,https://doi.org/10.60534/0gvj6-4k957,https://archive.nfdi4plants.org/records/0gvj6-4k957,"Transcriptional response of sard1-2, cbp60g-1, and sard/cbp to NHP",2026-02-24,"Perrar, Mona and Zeier, Jürgen",https://git.nfdi4plants.org/projects/3773/
3px9d-gex45,https://doi.org/10.60534/3px9d-gex45,https://archive.nfdi4plants.org/records/3px9d-gex45,Artificial Soil (ArtSoil): recreating soil conditions in synthetic plant growth media,2026-02-11,"Kaplunova, Vera and Alioui, Houda and Griguschies, Tobias and Müller, Luca and Joisten-Rosenthal, Vivien and Lautwein, Tobias and Metzger, Sabine and Durán, Paloma and Loo, Eliza",https://git.nfdi4plants.org/projects/3215
w3pyw-ds524,https://doi.org/10.60534/w3pyw-ds524,https://archive.nfdi4plants.org/records/w3pyw-ds524,Live-cell imaging enables reporter-free monitoring of the circadian rhythm in individual Synechocystis cells,2026-02-05,"Witting, Lennart and Stirba, Florian Pascal and Nohr, Julius and Ivanova, Ekaterina and Kolkof, Petra and Kohlheyer, Dietrich and Wiegard, Anika and Axmann, Ilka Maria",https://git.nfdi4plants.org/projects/3048/
fthbz-ctq35,https://doi.org/10.60534/fthbz-ctq35,https://archive.nfdi4plants.org/records/fthbz-ctq35,RatioLFQ Evaluation,2026-01-20,"Ott, Caroline and Sommer, Frederik",https://git.nfdi4plants.org/projects/3444
gs9cw-7qp70,https://doi.org/10.60534/gs9cw-7qp70,https://archive.nfdi4plants.org/records/gs9cw-7qp70,T7 RNA polymerase-based gene expression from a transcriptionally silent rDNA spacer in the endosymbiont-harboring trypanosomatid Angomonas deanei,2026-01-12,"Kröninger, Lena and Maurya, Anay Kumar and Stiebeling, Christian and Stirba, Florian and Kim, Zio and Nowack, Eva",https://git.nfdi4plants.org/projects/2480
7de3v-7mk38,https://doi.org/10.60534/7de3v-7mk38,https://archive.nfdi4plants.org/records/7de3v-7mk38,Biosensor-based growth-coupling as an evolutionary strategy towards elevated hrtB expression in Corynebacterium glutamicum,2026-01-12,"Krüger, Aileen and Göddecke, Janik and Osthege, Michael and Navratil, Luis and Weber, Ulrike and Oldiges, Marco and Frunzke, Julia",https://git.nfdi4plants.org/projects/1582
j7b3e-wb995,https://doi.org/10.60534/j7b3e-wb995,https://archive.nfdi4plants.org/records/j7b3e-wb995,In vivo online monitoring of intracellular lipid accumulation in Ustilago maydis,2025-10-09,"Feldbrügge, Michael and Müntjes, Kira and Mann, Marcel and Richter, Paul and Philipp, Magnus and Plücker, Lesley and Schipper, Kerstin",https://git.nfdi4plants.org/projects/3204
a5mmq-wmq36,https://doi.org/10.60534/a5mmq-wmq36,https://archive.nfdi4plants.org/records/a5mmq-wmq36,A critical role of sux cistron-mediated sucrose uptake for virulence of the rice blight pathogen Xanthomonas oryzae pv. oryzae,2025-06-12,"Zöllner, Nora R. and Sharkey, Jacob E. and Frommer, Wolf B.",https://git.nfdi4plants.org/projects/2792
